parameters sim pairwise - spec2vec - scale_factor:0.5;bin_size:0.05;trim_mz:True,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
11,,,,,,,,,,,12.0,8.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
12,,,,,,,,,,,,15.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0
13,,,,,,,,,,,,,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0
14,,,,,,,,,,,,,,23.0,0.0,8.0,2.0,13.0,21.0,0.0,0.0,5.0,2.0,2.0,9.0,7.0,12.0,13.0,7.0,9.0,9.0,12.0,1.0,3.0,15.0,16.0,4.0,0.0,6.0,0.0,9.0,12.0,3.0,12.0,3.0,8.0,9.0,0.0,8.0,4.0,12.0,10.0,7.0,9.0,5.0,9.0,1.0,0.0,0.0,9.0,1.0,6.0,1.0,11.0,0.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,7.0,2.0,0.0,5.0,11.0,0.0,0.0,3.0,1.0,2.0,7.0,0.0,8.0,3.0,10.0,12.0,1.0,3.0,6.0,2.0,4.0,4.0,5.0,5.0,12.0,9.0,0.0,4.0,7.0,2.0,1.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,10.0,0.0,2.0,10.0,2.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,6.0,0.0,2.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0
15,,,,,,,,,,,,,,,12.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0
16,,,,,,,,,,,,,,,,22.0,0.0,20.0,16.0,1.0,0.0,10.0,5.0,2.0,11.0,16.0,21.0,10.0,15.0,12.0,17.0,21.0,4.0,3.0,20.0,9.0,6.0,1.0,8.0,0.0,3.0,16.0,5.0,18.0,6.0,14.0,17.0,2.0,7.0,3.0,14.0,17.0,7.0,19.0,8.0,19.0,0.0,0.0,0.0,9.0,2.0,5.0,1.0,16.0,0.0,1.0,2.0,9.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,11.0,0.0,0.0,7.0,8.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,4.0,11.0,19.0,9.0,0.0,2.0,7.0,4.0,5.0,3.0,4.0,3.0,12.0,8.0,0.0,2.0,14.0,1.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,19.0,0.0,2.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
17,,,,,,,,,,,,,,,,,22.0,4.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
18,,,,,,,,,,,,,,,,,,60.0,27.0,2.0,1.0,12.0,5.0,2.0,17.0,21.0,41.0,14.0,22.0,19.0,23.0,32.0,3.0,4.0,50.0,17.0,8.0,2.0,12.0,0.0,8.0,27.0,6.0,29.0,8.0,19.0,25.0,5.0,13.0,4.0,24.0,32.0,11.0,23.0,9.0,27.0,1.0,0.0,0.0,14.0,3.0,10.0,2.0,32.0,0.0,2.0,4.0,12.0,6.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,5.0,4.0,4.0,0.0,4.0,0.0,2.0,10.0,4.0,1.0,18.0,1.0,0.0,12.0,14.0,0.0,0.0,3.0,1.0,2.0,21.0,0.0,8.0,17.0,46.0,17.0,0.0,3.0,8.0,5.0,6.0,4.0,8.0,6.0,21.0,11.0,0.0,6.0,37.0,1.0,1.0,1.0,1.0,17.0,8.0,0.0,1.0,0.0,1.0,0.0,23.0,4.0,33.0,0.0,3.0,43.0,0.0,6.0,2.0,0.0,1.0,0.0,3.0,0.0,23.0,5.0,2.0,2.0,1.0,0.0,2.0,6.0,3.0,2.0,1.0,0.0,0.0,1.0,11.0
19,,,,,,,,,,,,,,,,,,,63.0,0.0,0.0,8.0,4.0,2.0,15.0,15.0,22.0,19.0,15.0,17.0,19.0,23.0,2.0,4.0,28.0,26.0,7.0,1.0,10.0,0.0,13.0,21.0,5.0,21.0,6.0,14.0,19.0,2.0,14.0,7.0,19.0,17.0,13.0,17.0,8.0,19.0,1.0,0.0,0.0,14.0,4.0,12.0,3.0,19.0,0.0,3.0,2.0,13.0,9.0,0.0,0.0,0.0,7.0,1.0,3.0,2.0,6.0,7.0,4.0,0.0,6.0,1.0,0.0,10.0,4.0,2.0,14.0,2.0,1.0,9.0,18.0,0.0,0.0,5.0,3.0,3.0,12.0,1.0,11.0,7.0,21.0,26.0,2.0,5.0,10.0,3.0,5.0,7.0,9.0,7.0,25.0,15.0,1.0,7.0,14.0,2.0,1.0,1.0,1.0,6.0,9.0,0.0,1.0,0.0,2.0,0.0,12.0,7.0,20.0,0.0,3.0,21.0,2.0,12.0,2.0,0.0,3.0,0.0,3.0,0.0,14.0,10.0,0.0,3.0,0.0,2.0,0.0,13.0,8.0,2.0,3.0,0.0,0.0,0.0,10.0
20,,,,,,,,,,,,,,,,,,,,8.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0
21,,,,,,,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,4.0
22,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,1.0,11.0,12.0,14.0,5.0,12.0,9.0,12.0,17.0,3.0,4.0,12.0,4.0,3.0,1.0,5.0,0.0,3.0,12.0,4.0,14.0,5.0,7.0,15.0,1.0,3.0,4.0,15.0,9.0,4.0,13.0,6.0,11.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,9.0,0.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,9.0,0.0,0.0,11.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,8.0,12.0,4.0,0.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,4.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,14.0,1.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
